papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
SEQL3,3.49,-7.08,0.91,0.265,0.0,0.25,-96.88,16.57,-0.62,38.23,6.27,0.016,-0.0374,0.0175,-0.12869999999999998,0.99,15830200.0,537366000.0,1.32,0.3084
SFSA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,739524000.0,0.0,0.0015
SFSA4,4.4,13.1,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,739524000.0,0.0,0.0015
SGEN3,5.0,0.0,0.77,593.76,0.0,0.493,-8.34,-31.73,-2.01,-32.42,-32.42,-18.7117,0.0,-0.0159,0.0,0.65,0.0,156981000.0,0.02,-0.5985
SGEN4,0.6,0.0,0.09,71.251,0.0,0.059,-1.0,-3.81,-0.24,-4.5,-4.5,-18.7117,0.0,-0.0159,0.0,0.65,0.0,156981000.0,0.02,-0.5985
SGPS3,1.75,-0.19,0.14,0.06,0.0,0.03,1.26,-0.71,-0.07,-7.26,-40.04,-0.08470000000000001,-0.314,-0.050499999999999996,-0.75,1.07,221383.0,605751000.0,1.75,0.0003
SHOW3,2.5,-10.75,1.19,0.556,0.0,0.278,2.27,3.81,-2.8,1.26,1.11,0.1459,-0.0438,0.2163,-0.1107,1.23,1014750.0,141721000.0,0.83,-0.40020000000000006
SHUL4,4.76,6.8,1.63,0.851,0.031400000000000004,0.736,1.75,5.86,7.36,7.1,5.85,0.1454,0.1253,0.1732,0.2403,2.84,2434300.0,1041630000.0,0.81,0.2273
SIMH3,7.09,11.28,2.15,0.282,0.0726,0.101,0.44,1.22,-0.2,6.45,4.84,0.2314,0.0483,0.1232,0.19030000000000002,2.4,36850900.0,2770200000.0,14.77,0.6992
SJOS3,1.19,9.21,-0.1,4.816,0.0,3.629,-0.1,13.13,-0.1,37.2,37.2,0.3669,0.5231,-0.0302,-0.0105,0.01,0.0,-166777000.0,-0.18,0.3096
SJOS4,0.09,0.7,-0.01,0.364,0.0,0.274,-0.01,0.99,-0.01,25.07,25.07,0.3669,0.5231,-0.0302,-0.0105,0.01,0.0,-166777000.0,-0.18,0.3096
SLCE3,45.43,7.23,2.02,1.05,0.053399999999999996,0.639,3.35,3.83,-3.3,5.03,4.71,0.2737,0.152,0.19760000000000003,0.2788,1.68,59359900.0,4788890000.0,0.91,0.36200000000000004
SLCP3,610.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
